First_Name.Middle_Name	Family_Name	Pubmed_Name	Category	Primary.Affiliation	Secondary.Affiliations	Researcher.ID.URL	RID	uuids
Lawrence J	Appel	Appel LJ	Clinical Medicine	The Johns Hopkins University, USA				6377a0fd-4097-44c4-a9f4-aaaa4a441e40
Alan 	Ashworth	Ashworth A	Clinical Medicine	Inst Canc Res, UK				4cf3564a-05d1-4053-8cd9-71e1a5a7fec6
Alvaro 	Avezum	Avezum A	Clinical Medicine	Hosp Coracao, Brazil				8e24d20b-3d01-448d-88bb-caa3557b8f79
Michele 	Baccarani	Baccarani M	Clinical Medicine	University of Bologna, Italy				6f3d58d0-5695-4fd6-bb88-5496a7fdcb52
Colin 	Baigent	Baigent C	Clinical Medicine	University of Oxford, UK				c34f752d-770f-4624-bffa-b85b6325ec73
George L	Bakris	Bakris GL	Clinical Medicine	University of Chicago, USA				d410498b-626d-4777-86a7-8808d8ccc767
Christie M	Ballantyne	Ballantyne CM	Clinical Medicine	Baylor College of Medicine, USA				34571f04-5ef3-47d6-bf46-4ad03e845a62
Alberto 	Bardelli	Bardelli A	Clinical Medicine	University of Turin, Italy	Inst Canc Res & Treatment IRCC, Italy; FIRC Inst Mol Oncol IFOM, Italy			1e0f422d-72be-4db1-9cea-fe78055551c8
Bart 	Barlogie	Barlogie B	Clinical Medicine	University of Arkansas at Little Rock, USA				0ede7f0c-0fac-4f6c-8e06-8fa7049718a0
Robyn J	Barst	Barst RJ	Clinical Medicine	Columbia University, USA				d3e64e52-0582-4dc6-8404-09fdc34765a4
Philip J	Barter	Barter PJ	Clinical Medicine	Heart Res Inst, Australia				30341953-3738-49f7-9c5d-d02b3b7fdb98
Jose 	Baselga	Baselga J	Clinical Medicine	Mem Sloan Kettering Canc Ctr, USA	Vall dHebron Inst Oncol, Spain			70dee28f-3588-455a-88b9-d3cb92a64474
Eric R	Bates	Bates ER	Clinical Medicine	University of Michigan - Ann Arbor, USA				d14361b2-ad9a-41b2-bf48-4b6059d6d772
Jeroen J	Bax	Bax JJ	Clinical Medicine	Leiden University, Netherlands				32378ee4-6438-44b9-b5ce-5d7b48f36cfd
Richard C	Becker	Becker RC	Clinical Medicine	University of Cincinnati, USA				956c2273-5754-4bb8-a87e-b4ae2a04e65c
Rinaldo 	Bellomo	Bellomo R	Clinical Medicine	Monash University, Australia	University of Melbourne, Australia			ab59fcc9-25b0-4af3-bf2a-1b9af7abe8ba
Emelia J	Benjamin	Benjamin EJ	Clinical Medicine	Boston University, USA	NHLBI, USA			c3a74480-6054-4f2d-8c6c-9425cfa9f023
Peter B	Berger	Berger PB	Clinical Medicine	Weis Ctr Res, USA				99e2696d-3058-4bba-8cb5-7a2cbec6888e
Daniel S	Berman	Berman DS	Clinical Medicine	Cedars Sinai Heart Inst, USA				2e3aea76-7332-4123-ad0f-73f5cee958ae
Donald A	Berry	Berry DA	Clinical Medicine	The University of Texas M. D. Anderson Cancer Center, USA				9410aa3a-e3de-445c-a92c-d621fa35bb5f
Deepak L	Bhatt	Bhatt DL	Clinical Medicine	Brigham & Womens Hosp, USA	Harvard University, USA			37d66918-a177-4862-8f4c-fafd45233ca5
Henry R	Black	Black HR	Clinical Medicine	New York University, USA				ca4b3e43-fff8-4cdd-a5a7-71860bc7c7ef
Joan 	Blade	Blade J	Clinical Medicine	Hosp Clin Barcelona, Spain	University of Barcelona, Spain			88031551-7a5a-47cb-8141-891b8a8dd841
Steven N	Blair	Blair SN	Clinical Medicine	University of South Carolina - Columbia, USA				b2346aef-84e8-4adc-a2c4-c3284e4451d1
Clara D	Bloomfield	Bloomfield CD	Clinical Medicine	The Ohio State University - Columbus, USA				6d2d69a7-fb2e-482d-bd3b-f2ad19147621
Mario 	Boccadoro	Boccadoro M	Clinical Medicine	University of Turin, Italy				895b2cf1-6c65-4572-824c-e1a81246b562
Eric 	Boersma	Boersma E	Clinical Medicine	Erasmus MC, Netherlands				df17d1ce-0621-4637-b017-88596c7cae84
Eric 	Boerwinkle	Boerwinkle E	Clinical Medicine	The University of Texas Health Science Center at Houston, USA	Baylor College of Medicine, USA			f29f4fc4-633d-4bbe-afde-0623bed13a31
Robert O	Bonow	Bonow RO	Clinical Medicine	Northwestern University, USA				253678a5-36ef-4e85-8f05-8e089c1a6918
F Xavier	Bosch	Bosch FX	Clinical Medicine	Inst Catala Oncol IDIBELL, Spain				7a3d497c-ee5a-47d4-962a-d86cabbcf8f7
Eugene 	Braunwald	Braunwald E	Clinical Medicine	Brigham & Womens Hosp, USA				da3fb0ef-bec6-4cd6-8887-17ed75d16093
Monique M B	Breteler	Breteler MM	Clinical Medicine	German Center for Neurodegenerative Diseases (DZNE), Germany	University of Bonn, Germany; Harvard University, USA			44af15df-7870-4120-8a55-ef8f636f9503
Jordi 	Bruix	Bruix J	Clinical Medicine	University of Barcelona, Spain	IDIBAPS, Spain; CIEREHD, Spain			4993c053-8e65-4d0b-b48a-2bee1eda830a
Andrzej 	Budaj	Budaj A	Clinical Medicine	Grochowski Hosp, Poland				90c6b619-4a57-448a-9747-3c90b7b0266d
Matthew J	Budoff	Budoff MJ	Clinical Medicine	Los Angeles Biomed Res Inst, USA				66ecc03b-3c6d-4f61-9315-12c13261e6ae
Julie E	Buring	Buring JE	Clinical Medicine	Harvard University, USA				0f8e78ca-b482-4365-a45f-15f5a102fe9f
John B	Buse	Buse JB	Clinical Medicine	University of North Carolina at Chapel Hill, USA				1ba39394-9cde-4a40-a1d2-30a2fe663568
Aman U	Buzdar	Buzdar AU	Clinical Medicine	The University of Texas M. D. Anderson Cancer Center, USA				2faf03c0-f8c3-408e-8f5a-25bb3900adb6
Robert M	Califf	Califf RM	Clinical Medicine	Duke Translat Med Inst, USA				b0b5ec90-7993-403a-8fee-2e9f6df0679b
George Adrian	Calin	Calin GA	Clinical Medicine	The University of Texas M. D. Anderson Cancer Center, USA				37588faa-b173-42e9-9e28-179ce323476c
Hugh 	Calkins	Calkins H	Clinical Medicine	The Johns Hopkins University, USA				31fa10ef-99aa-4b21-a2ea-d84b8f9d7cd4
Peter J	Campbell	Campbell PJ	Clinical Medicine	Addenbrookes Hosp, UK	University of Cambridge, UK; Wellcome Trust Sanger Inst, UK			a5f69a9a-374c-409e-be99-4e1c28fc0fe0
Elias 	Campo	Campo E	Clinical Medicine	University of Barcelona, Spain				b493c9e4-acdc-4f4b-8f3c-a849ae5fe54a
Christopher P	Cannon	Cannon CP	Clinical Medicine	Brigham & Womens Hosp, USA				a59ee870-b96b-4d12-8955-223ed2758a23
Jane A	Cauley	Cauley JA	Clinical Medicine	University of Pittsburgh, USA				58d34087-c7d5-4ccd-94db-28eabb596b5a
Glenn M	Chertow	Chertow GM	Clinical Medicine	Stanford University, USA	University of California, San Francisco, USA			5fb81496-994c-42ec-aa9f-a64fb8ab0a54
Arul M	Chinnaiyan	Chinnaiyan AM	Clinical Medicine	University of Michigan - Ann Arbor, USA				b782910a-2fdc-4d27-8edf-2af720e11e03
Rowan T	Chlebowski	Chlebowski RT	Clinical Medicine	Harbor UCLA Med Ctr, USA				add8647f-1066-4a72-a819-c32126843e53
Robert J	Clarke	Clarke RJ	Clinical Medicine	University of Oxford, UK				076c02ce-df08-4be0-ba41-c5ec168d41b3
John G F	Cleland	Cleland JG	Clinical Medicine	Imperial College London, UK	Royal Brompton and Harefield NHS Foundation Trust, UK			7707cc1b-0575-4c58-9b7b-9437bd0369c6
Hans 	Clevers	Clevers H	Clinical Medicine	Royal Netherlands Academy of Arts and Sciences, Netherlands	University Medical Center Utrecht, Netherlands			f6b309d9-9a79-4fc7-a115-75908e9197b4
David J	Cohen	Cohen DJ	Clinical Medicine	University of Missouri - Kansas City, USA				1b4eb7bb-4326-4944-be9e-0f4a5d718894
Rory 	Collins	Collins R	Clinical Medicine	University of Oxford, UK				a01e9ae6-0c50-48b2-9b44-e40443997e36
Jean-Frederic 	Colombel	Colombel JF	Clinical Medicine	Icahn School of Medicine at Mount Sinai, USA	Lille 2 University of Health and Law, France			0fc7653e-419e-4bda-8a89-237d94d5b53d
Antonio 	Colombo	Colombo A	Clinical Medicine	Ist Sci San Raffaele, Italy				05b276a5-de29-40fd-9acc-cd630d6406ed
Stuart J	Connolly	Connolly SJ	Clinical Medicine	McMaster University, Canada				915fdfbc-d9e6-42bf-9fbf-5210ec00f866
Joseph M	Connors	Connors JM	Clinical Medicine	British Columbia Cancer Agency, Canada				a0944296-9f11-4c5d-b8c4-6242b5fda6cc
Nancy R	Cook	Cook NR	Clinical Medicine	Harvard University, USA				b876234b-9eae-4a6d-8455-895237daba09
Cyrus 	Cooper	Cooper C	Clinical Medicine	University of Southampton, UK				7d977110-50ce-4de7-8998-988b9b450e5e
Josef 	Coresh	Coresh J	Clinical Medicine	The Johns Hopkins University, USA				357e53c8-ce99-4afd-a43d-668ff113e80f
Christopher L	Corless	Corless CL	Clinical Medicine	Oregon Health and Science University, USA	Portland VA Med Ctr, USA			0b787493-16ae-4300-8f2c-1724fd1a8abe
Jorge E	Cortes	Cortes JE	Clinical Medicine	The University of Texas M. D. Anderson Cancer Center, USA				1b7af08e-313e-41a2-8456-521199b31fb0
Mark A	Creager	Creager MA	Clinical Medicine	Brigham & Womens Hosp, USA				5c93266d-e099-40c1-8968-144b69987a67
Carlo Maria	Croce	Croce CM	Clinical Medicine	The Ohio State University - Columbus, USA				7d38728d-e513-43ae-b8b7-3a2047acb2b4
John J	Crowley	Crowley JJ	Clinical Medicine	Canc Res & Biostat, USA				5edcc2cf-b272-4fbc-8aef-ecebfbdcee6a
Steven R	Cummings	Cummings SR	Clinical Medicine	University of California, San Francisco, USA				6d8ad171-ebfa-413a-9e4d-ee82bb3a2c6c
Donald E	Cutlip	Cutlip DE	Clinical Medicine	Beth Israel Deaconess Med Ctr, USA	Harvard University, USA			18da0eb9-fd5c-464f-85e5-14c9e5937792
Jack 	Cuzick	Cuzick J	Clinical Medicine	Queen Mary, U. of London, UK				31baddb3-88c3-4d0e-a02d-890a8fa362f9
Ralph B	D'Agostino	D'Agostino RB	Clinical Medicine	Boston University, USA				2f5ac3fb-7d7b-4f51-8584-f703cb2760f0
Bjorn 	Dahlof	Dahlof B	Clinical Medicine	University of Gothenburg, Sweden				d902b718-4f0b-4867-82e3-86d8ecb47828
George Q	Daley	Daley GQ	Clinical Medicine	Childrens Hosp, USA	Harvard University, USA			5bc8317f-4a01-4bd4-9b8a-1c4ae036feef
John 	Danesh	Danesh J	Clinical Medicine	University of Cambridge, UK				9d1b1eef-5ef8-41d1-abc2-920ab673de86
Stephen R	Daniels	Daniels SR	Clinical Medicine	Hlth Sci Ctr, USA	University of Colorado at Denver, USA			f51f75f3-6474-446f-9e9e-9307af2cabe7
Nancy E	Davidson	Davidson NE	Clinical Medicine	University of Pittsburgh, USA				5a09b174-518c-44d3-9400-b1602a1cf29b
Bess 	Dawson-Hughes	Dawson-Hughes B	Clinical Medicine	Tufts University, USA				a710b13a-2f3e-460f-b412-518ecd3f93ad
Guy 	De Backer	De Backer G	Clinical Medicine	Ghent University, Belgium				13b19cec-68f5-48ee-bdb3-79df1a84572c
Johann Sebastian	De Bono	De Bono JS	Clinical Medicine	Inst Canc Res, UK	Royal Marsden Hosp, UK			69ea5dc0-b2af-44e5-a162-c0456e356440
Michael W N	Deininger	Deininger MW	Clinical Medicine	University of Utah, USA				0005493c-ff59-4d86-a903-a447317a7733
George D	Demetri	Demetri GD	Clinical Medicine	Dana Farber Canc Inst, USA	Harvard University, USA			2834df26-9113-463f-aa51-26eb3c77398e
Prasad 	Devarajan	Devarajan P	Clinical Medicine	University of Cincinnati, USA				362ea84a-3fe7-4c59-80ce-7053d52aad70
Kenneth 	Dickstein	Dickstein K	Clinical Medicine	University of Bergen, Norway				eb936ed9-996c-42e6-9bf1-798368142177
Hans-Christoph 	Diener	Diener HC	Clinical Medicine	University of Duisburg-Essen, Germany				d53308aa-1440-4ff5-9757-c9f0c3cd7582
Stefanie 	Dimmeler	Dimmeler S	Clinical Medicine	University of Frankfurt, Germany				4be1e817-bea2-44ae-ae52-760f8cffbda3
Meletios A	Dimopoulos	Dimopoulos MA	Clinical Medicine	National and Kapodistrian University of Athens, Greece				85193307-0c7f-498b-8551-d1011b8034ca
John F	Dipersio	Dipersio JF	Clinical Medicine	Washington University in St. Louis, USA				8c4c9b51-1fd4-45ca-bf8b-8dc2937e97c6
Hartmut 	Doehner	Doehner H	Clinical Medicine	University of Ulm, Germany				f95c7963-76f2-4789-81d8-40b828af90d9
Daniel C	Douek	Douek DC	Clinical Medicine	NIAID, USA				284ae90a-87ae-4138-8da6-78eec755ab24
Maxime 	Dougados	Dougados M	Clinical Medicine	University of Paris Descartes (Paris 5), France				f816ea7f-7a14-4b4c-b95a-c9a5230d9e4f
James R	Downing	Downing JR	Clinical Medicine	St Jude Childrens Hosp, USA				02cb0383-1cd1-49e7-a07c-3dae087dc230
Mitch 	Dowsett	Dowsett M	Clinical Medicine	Royal Marsden Hosp, UK				e80e8739-d6a5-4ee2-a955-01558ecd4c45
Helmut 	Drexler	Drexler H	Clinical Medicine	Hannover Medical School, Germany				bdbf5205-bf20-411a-9515-5aba5c4d7894
Brian J	Druker	Druker BJ	Clinical Medicine	Oregon Health and Science University, USA				9f6f33e6-e107-4201-9c63-f3ca26a8bb4f
Shah B	Ebrahim	Ebrahim SB	Clinical Medicine	London School of Hygiene and Tropical Medicine, UK				c9afc44a-c280-4ff8-91eb-ec835dfca7ec
Matthias 	Egger	Egger M	Clinical Medicine	University of Bern, Switzerland	University of Cape Town, South Africa			34d02c36-dd8a-41d9-9934-325dae51e4d7
John W	Eikelboom	Eikelboom JW	Clinical Medicine	McMaster University, Canada				d99bd1a2-334a-4491-9140-7d1418cb8a00
Hashem B	El-Serag	El-Serag HB	Clinical Medicine	Baylor College of Medicine, USA	Michael E DeBakey VA Med Ctr, USA			52d70c6e-7481-4301-8609-6361c712ce5d
Paul 	Emery	Emery P	Clinical Medicine	Leeds Teaching Hosp Trust, UK	University of Leeds, UK			13882067-17fa-4700-a5c2-fc1119cee666
Jeffrey A	Engelman	Engelman JA	Clinical Medicine	Harvard University, USA	Massachusetts Gen Hosp, USA			9b1d3ae2-3b1e-43cc-8236-ffe7ccecbf6b
Michael D	Ezekowitz	Ezekowitz MD	Clinical Medicine	Lankenau Inst Med Res, USA				b9d281df-f90d-4ba4-bfd0-8e7cfffd73fd
Thierry 	Facon	Facon T	Clinical Medicine	Hop Claude Huriez, France				834f009c-563e-4215-8134-6a7e89c03c0c
Robert H	Fagard	Fagard RH	Clinical Medicine	KU Leuven, Belgium				c01f6aae-d849-4ae9-ba4a-f3b7058d031e
David P	Faxon	Faxon DP	Clinical Medicine	Brigham & Womens Hosp, USA				20f42a3c-8b1e-4d25-b7a3-d6132ea73946
Louis 	Fehrenbacher	Fehrenbacher L	Clinical Medicine	Kaiser Permanente Oncol Clin Trials, USA	Natl Surg Adjuvant Breast & Bowel Project NSABP, USA			42393a04-dfb3-4527-ad27-c678919ce4d9
Napoleone 	Ferrara	Ferrara N	Clinical Medicine	University of California, San Diego, USA				022e2c3f-d648-4b3c-b355-918422d7c960
Luigi 	Ferrucci	Ferrucci L	Clinical Medicine	NIA, USA				2afb2ab6-574e-4b1d-b5d4-4c28775ba9d5
Keith T	Flaherty	Flaherty KT	Clinical Medicine	Massachusetts Gen Hosp, USA				00f90892-1548-4cce-9f80-167e37a9228f
Katherine M	Flegal	Flegal KM	Clinical Medicine	Ctr Dis Control & Prevent, USA				6028a08c-4f5d-4d7a-b3bb-3f6f2e44c673
Aaron R	Folsom	Folsom AR	Clinical Medicine	University of Minnesota, Twin Cities, USA				97557986-5453-42bb-8cc2-565e5c1364d2
Gregg C	Fonarow	Fonarow GC	Clinical Medicine	University of California, Los Angeles, USA				5d632de7-7372-4d9a-8c3e-a6ac35bc8758
John F	Forbes	Forbes JF	Clinical Medicine	University of Newcastle, Australia				fe094d60-8692-40b5-87a8-3d74ef7ad972
Earl S	Ford	Ford ES	Clinical Medicine	Ctr Dis Control & Prevent, USA				1b35af69-31b6-45a7-86f2-d27037046677
Ian 	Ford	Ford I	Clinical Medicine	The University of Glasgow, UK				80c44c29-fbc2-4405-b835-a8152376af9d
Caroline S	Fox	Fox CS	Clinical Medicine	Harvard University, USA	NHLBI, USA			75d1c386-3463-4cae-aade-6fa4a3714fe3
Keith A A	Fox	Fox KA	Clinical Medicine	The University of Edinburgh, UK				3693fe39-1a70-41d7-b3e2-992183b42b6b
Charles S	Fuchs	Fuchs CS	Clinical Medicine	Brigham & Womens Hosp, USA	Dana Farber Canc Inst, USA			cf8c8ea0-f732-4344-b3f6-8f5ae59eef09
Tohru 	Funahashi	Funahashi T	Clinical Medicine	Osaka University, Japan				400ce029-e38d-47e1-8ab5-143bf4f9e3b7
Curt D	Furberg	Furberg CD	Clinical Medicine	Wake Forest University, USA				c870c33b-2ad2-4d7e-81b1-eb52f9ea801e
Valentin 	Fuster	Fuster V	Clinical Medicine	CNIC, Spain	Icahn School of Medicine at Mount Sinai, USA			1fc766c4-601b-4f27-9a19-c11b578870f5
P Andrew	Futreal	Futreal PA	Clinical Medicine	The University of Texas M. D. Anderson Cancer Center, USA				576b1df6-003c-4288-9584-a9d200c5a242
Stacey B	Gabriel	Gabriel SB	Clinical Medicine	Broad Inst, USA				0d202ebb-02ba-4615-8e79-b33b76efc29a
Nazzareno 	Galie	Galie N	Clinical Medicine	University of Bologna, Italy				74d79b2f-4e97-47ec-9def-2e632b377820
Arnold 	Ganser	Ganser A	Clinical Medicine	Hannover Medical School, Germany		http://www.researcherid.com/rid/H-2692-2014	H-2692-2014	e97e49ee-f040-47a2-b82a-556e348baa7a
Levi A	Garraway	Garraway LA	Clinical Medicine	Broad Inst Harvard & MIT, USA	Dana Farber Canc Inst, USA; Harvard University, USA			8c21a1c5-01c7-42ee-a02d-b14bc2ca1a13
Randy D	Gascoyne	Gascoyne RD	Clinical Medicine	British Columbia Cancer Agency, Canada	University of British Columbia, Canada			c2ce4991-a939-40e8-8c9e-72522d817378
Adi F	Gazdar	Gazdar AF	Clinical Medicine	The University of Texas Southwestern Medical Center at Dallas, USA				16aefe86-fcbc-45f8-a527-8660f4ed2337
J Michael	Gaziano	Gaziano JM	Clinical Medicine	Boston Vet Affairs Healthcare Syst, USA	Brigham & Womens Hosp, USA			7093a9a0-019a-4b76-8768-d594e2c33843
William L	Gerald	Gerald WL	Clinical Medicine	Mem Sloan Kettering Canc Ctr, USA				b97dbc8d-76d6-47eb-b1e9-e86376f09308
Bernard J	Gersh	Gersh BJ	Clinical Medicine	Mayo Medical School, USA				37bbc647-abf9-420f-8e72-6fc3da5a631b
Gad 	Getz	Getz G	Clinical Medicine	Broad Inst MIT & Harvard, USA				2fb349a3-0818-4713-a938-c59c4a71709a
C Michael	Gibson	Gibson CM	Clinical Medicine	Brigham & Womens Hosp, USA				d73f5901-e252-44ca-9e87-65f7e965d06a
Inderbir S	Gill	Gill IS	Clinical Medicine	University of Southern California, USA				7f60e63a-b2e4-4050-9696-e6b3471a9694
D Gary	Gilliland	Gilliland DG	Clinical Medicine	Merck Res Labs, USA				6660b006-163e-4197-96d8-3386cbe86375
Edward L	Giovannucci	Giovannucci EL	Clinical Medicine	Brigham & Womens Hosp, USA	Harvard University, USA			5fd8446f-1735-4584-98dd-e3b34a2b07ff
Alan S	Go	Go AS	Clinical Medicine	Kaiser Permanente No Calif, USA	University of California, San Francisco, USA			52473a77-a3fe-4382-8095-7f5e5c238ef9
John M	Goldman	Goldman JM	Clinical Medicine	Imperial Coll Healthcare NHS Trust, UK				ff15e756-1066-4f67-b89e-048dfd154b1a
Todd R	Golub	Golub TR	Clinical Medicine	Dana Farber Canc Inst, USA	Eli & Edythe L Broad Inst, USA; Harvard University, USA; Howard Hughes Med Inst, USA			e11242a4-3dbf-4a45-9d77-d3b6a5204b70
Zachary D	Goodman	Goodman ZD	Clinical Medicine	Betty & Guy Beatty Ctr Integrat Res, USA	Inova Fairfax Hosp, USA			1b589929-5f49-4969-a5d0-fdc0d31ac445
Christopher B	Granger	Granger CB	Clinical Medicine	Duke University, USA				b4f48f6f-4816-4b84-92be-d09acaea15a7
Tom 	Greene	Greene T	Clinical Medicine	University of Utah, USA				b76123e4-d3f4-4c35-93be-196f5a7449b3
Philip 	Greenland	Greenland P	Clinical Medicine	Northwestern University, USA				764c80b1-7d29-4f04-920e-19ae6ce7c369
Diederick E	Grobbee	Grobbee DE	Clinical Medicine	Univ Med Ctr Utrecht, Netherlands		http://www.researcherid.com/rid/C-7651-2014	C-7651-2014	f6f68dfc-5f4c-4383-bbd6-974959ddd7db
Scott M	Grundy	Grundy SM	Clinical Medicine	The University of Texas Southwestern Medical Center at Dallas, USA				5b2f798c-8563-4dfe-b468-c19f5e52aca8
Giulio 	Guagliumi	Guagliumi G	Clinical Medicine	Osped Riuniti Bergamo, Italy				d4d45287-2b07-416c-8dec-925f20566fbe
Francois 	Guilhot	Guilhot F	Clinical Medicine	University of Poitiers, France				a782e658-70d9-4508-817d-ccc2ee9bbde6
Gordon H	Guyatt	Guyatt GH	Clinical Medicine	McMaster University, Canada				ba28c253-76b2-4d47-ae72-2c9e8075b87f
Daniel A	Haber	Haber DA	Clinical Medicine	Harvard University, USA	Howard Hughes Med Inst, USA			324097c3-6d74-4975-b62c-83aa2a66cb4e
Werner 	Hacke	Hacke W	Clinical Medicine	University of Heidelberg, Germany				28020e69-3c9c-4af0-a211-7b993f0d92af
Steven M	Haffner	Haffner SM	Clinical Medicine	The University of Texas Health Science Center at San Antonio, USA				a26def87-87da-434a-a0d9-7e6f8013dde6
Michel H R	Haissaguerre	Haissaguerre	Clinical Medicine	University of Bordeaux, France				9bcdf137-8fd7-4fed-b457-22a4f8acd2eb
Jonathan L	Halperin	Halperin JL	Clinical Medicine	Icahn School of Medicine at Mount Sinai, USA				c24c83c1-b637-41bd-b51f-647488335f92
Christian W	Hamm	Hamm CW	Clinical Medicine	Kerckhoff Heart Ctr, Germany				e64abdd4-6510-4a0e-b538-c97ed863e7c1
Stephen B	Hanauer	Hanauer SB	Clinical Medicine	Northwestern University, USA				3b9ac389-dcfb-4aee-86aa-f5934e5984f0
Jean-Luc 	Harousseau	Harousseau JL	Clinical Medicine	Hop Hotel Dieu, France				cf11bc2f-b724-4d2b-9c27-ca64d8fa17c7
Robert A	Harrington	Harrington RA	Clinical Medicine	Stanford University, USA				1ea92259-f5ad-40ec-93cb-8f13ef2da63e
Adrian L	Harris	Harris AL	Clinical Medicine	University of Oxford, UK				9e0740ef-c489-41ee-8c58-8e844d929346
Tamara B	Harris	Harris TB	Clinical Medicine	NIA, USA				ccf91c58-44e6-432c-98a2-c874a3d25cf3
Daniel F	Hayes	Hayes DF	Clinical Medicine	University of Michigan - Ann Arbor, USA				adf1ca1d-d234-4306-a462-5748799fc94d
Jiang 	He	He J	Clinical Medicine	Tulane University, USA				29bd3178-60bb-4909-930f-4208363ac1a2
Michael C	Heinrich	Heinrich MC	Clinical Medicine	Oregon Health and Science University, USA	Portland VA Med Ctr, USA			8016e559-dd49-4c61-973d-94607ada7fd3
Gerardo 	Heiss	Heiss G	Clinical Medicine	University of North Carolina at Chapel Hill, USA				4a255839-4902-4660-946e-06da6b6b012b
Susan L	Hendrix	Hendrix SL	Clinical Medicine	Detroit Medical Ctr, USA				9d38f44b-fe7a-44c5-8a7e-d1d4050339f2
Roy S	Herbst	Herbst RS	Clinical Medicine	Yale Canc Ctr, USA				ded5307b-5f69-464b-8796-e7b13e6ade5a
Daniel J	Hicklin	Hicklin DJ	Clinical Medicine	CoStim, USA				69aad06b-208d-4169-966b-d69a119b687d
Teru 	Hideshima	Hideshima T	Clinical Medicine	Dana Farber Canc Inst, USA				78567369-f993-4a1e-892c-01ee6ae8493b
Loren F	Hiratzka	Hiratzka LF	Clinical Medicine	Good Samaritan Hosp, USA	Cardiac Vasc & Thorac Surg Inc, USA; Bethesda N Hosp, USA			16bd9e4f-13bc-41e7-8b5b-1689fdedfcba
Andreas 	Hochhaus	Hochhaus A	Clinical Medicine	Univ Klinikum Jena, Germany				c945aeb2-bcdd-4848-8fd1-f52cd200bc79
Albert 	Hofman	Hofman A	Clinical Medicine	Erasmus MC, Netherlands				e068c9bd-744b-4d34-b956-f6703dcc5b07
Stefan H	Hohnloser	Hohnloser SH	Clinical Medicine	University of Frankfurt, Germany				542aeb53-b40d-4ac3-86f2-84cd319df828
Michael F	Holick	Holick MF	Clinical Medicine	Boston University, USA				36eafd5d-d92f-4fb0-bc6b-5599678d4aa4
Rury R	Holman	Holman RR	Clinical Medicine	University of Oxford, UK				ffe7c614-1e1c-4bb8-ace2-4a3cc7aa4ad3
David R	Holmes	Holmes DR	Clinical Medicine	Mayo Medical School, USA				5f26d406-a263-4d73-bb54-dd7e8874ce07
Gabriel N	Hortobagyi	Hortobagyi GN	Clinical Medicine	The University of Texas M. D. Anderson Cancer Center, USA				9ed832aa-4ee6-4b15-99de-3c54360acf55
Barbara V	Howard	Howard BV	Clinical Medicine	Medstar Res Inst, USA	Georgetown Howard Univ Ctr Clin & Translat Sci, USA			d6aa3388-9a95-4f65-906d-699a221f878f
Ralph H	Hruban	Hruban RH	Clinical Medicine	The Johns Hopkins University, USA				9f357379-5d22-4853-ada0-d3881140fe99
Frank B	Hu	Hu FB	Clinical Medicine	Harvard University, USA	King Abdulaziz University, Saudi Arabia			e065d468-5da9-48ff-a10b-a4c6c69d4faf
Clifford A	Hudis	Hudis CA	Clinical Medicine	Mem Sloan Kettering Canc Ctr, USA				231305e0-5e56-4b73-b431-426152c43663
Timothy P	Hughes	Hughes TP	Clinical Medicine	The University of Adelaide, Australia	South Australian Health and Medical Research Institute(SAHMRI), Australia			f4549a71-31d2-4e0f-9fbc-fe2ce8415048
Marc 	Humbert	Humbert M	Clinical Medicine	University of Paris Sud (Paris 11), France	Inserm, France; Assistance Publique - Hopitaux de Paris, France			134c8174-0d71-4a24-8fd3-9e5608296967
Sharon Ann	Hunt	Hunt SA	Clinical Medicine	Stanford University, USA				5e6dbb9b-6953-4d6d-a68c-3febe33fe156
James N	Ingle	Ingle JN	Clinical Medicine	Mayo Medical School, USA				2a10c40b-4997-4a1c-8afb-6d0b5f2c2dcd
John P A	Ioannidis	Ioannidis JP	Clinical Medicine	Stanford University, USA				3fed8f75-ea8d-4f4a-bc44-ad9b63938e5b
Alice K	Jacobs	Jacobs AK	Clinical Medicine	Boston Med Ctr, USA				4024b945-f2c4-4302-96e3-abafab3a9f0b
Rudolf 	Jaenisch	Jaenisch R	Clinical Medicine	Massachusetts Institute of Technology (MIT), USA	Whitehead Inst Biomed Res, USA			bd560905-58a3-4d94-a9e2-a17817a15adb
Pasi A	Jaenne	Pasi J	Clinical Medicine	Dana Farber Canc Inst, USA	Harvard University, USA			ce8843fe-d34d-4e47-b2db-0d45444f3092
Rakesh K	Jain	Jain RK	Clinical Medicine	Massachusetts Gen Hosp, USA				6dc0998e-bb20-42db-9ebc-4d8e5a1681d9
Stefan K	James	James SK	Clinical Medicine	Uppsala University, Sweden				952bf27a-6391-4388-b99e-51c86af333f5
Ahmedin 	Jemal	Jemal A	Clinical Medicine	Amer Canc Soc, USA				fe9a7840-1935-49d7-8c9c-c41652c6ea14
Bruce E	Johnson	Johnson BE	Clinical Medicine	Dana Farber Canc Inst, USA				6baa051d-3a0c-423d-adb3-d5bda023b7c9
David H	Johnson	Johnson DH	Clinical Medicine	The University of Texas Southwestern Medical Center at Dallas, USA				4b337b74-b4c8-4b21-aac3-dfb27549bbff
Karen C	Johnson	Johnson KC	Clinical Medicine	University of Tennessee Health Science Center, USA				d85e09b5-7aa9-4065-b038-f553d77e1750
